,Unnamed: 0.1,Unnamed: 0,oid,oy,ox,oGEOID,oMOVEMENT_ID,did,dy,dx,dGEOID,dMOVEMENT_ID,uber_OD,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
1876,1876,205924,15027549,34.0737247,-118.2222993,6037199002.0,1172.0,122842930,33.9317037,-118.0762061,6037504200.0,1944.0,"(1172.0, 1944.0)",1172.0,1944.0,3,1172.17,403.3,1119.4,1.33
1066589,1066589,2088001,3480273618,34.1480254,-118.0677326,6037430701.0,25.0,123136724,34.1662682,-117.9998657,6037430301.0,1729.0,"(25.0, 1729.0)",25.0,1729.0,3,501.87,234.52,458.26,1.51
512475,512475,876974,123126743,34.0633065,-118.2290003,6037206010.0,1218.0,28112731,34.1021838,-118.2684156,6037195100.0,1150.0,"(1218.0, 1150.0)",1218.0,1150.0,3,656.42,240.45,616.86,1.42
439271,439271,2013213,123020043,33.9186931,-118.0844239,6037550202.0,1775.0,122864323,33.8738569,-117.9395706,6059011200.0,2584.0,"(1775.0, 2584.0)",1775.0,2584.0,3,803.5,165.01,788.51,1.21
777534,777534,4777387,254527777,34.0711853,-118.4177066,6037700700.0,114.0,122567520,34.168573,-118.608052,6037137401.0,996.0,"(114.0, 996.0)",114.0,996.0,3,1557.33,269.59,1533.8,1.19
882922,882922,4600728,739123842,34.0752594,-118.4780117,6037262302.0,1518.0,122586754,34.2065657,-118.4001571,6037123301.0,869.0,"(1518.0, 869.0)",1518.0,869.0,3,971.15,151.7,960.88,1.15
1025397,1025397,4152236,1933136143,33.7576346,-118.3141118,6037670701.0,1876.0,10309880395,33.8582736,-118.3342373,6037980005.0,2059.0,"(1876.0, 2059.0)",1876.0,2059.0,3,832.71,209.73,811.81,1.24
789731,789731,19169,269579856,34.1556973,-118.4696962,6037141400.0,1025.0,275966167,33.8149193,-118.1840928,6037573401.0,1973.0,"(1025.0, 1973.0)",1025.0,1973.0,3,1851.6,299.66,1829.6,1.16
788953,788953,14274,269461642,34.0636535,-118.2051349,6037203300.0,1197.0,123448709,33.9613193,-118.400371,6037277000.0,1619.0,"(1197.0, 1619.0)",1197.0,1619.0,3,1507.5,332.62,1472.21,1.24
123858,123858,306352,122644207,33.8948567,-118.4141102,6037620305.0,1716.0,122899186,33.9270049,-118.4081084,6037620001.0,321.0,"(1716.0, 321.0)",1716.0,321.0,3,579.05,162.09,551.43,1.4
1195558,1195558,4483865,11186903388,33.9974651,-118.151383,6037532303.0,187.0,123382195,33.9358659,-118.0906504,6037502801.0,1943.0,"(187.0, 1943.0)",187.0,1943.0,3,345.59,164.91,325.1,1.36
488140,488140,4352144,123090077,34.2637763,-118.2998377,6037103102.0,708.0,122648051,34.2595827,-118.2950933,6037101110.0,697.0,"(708.0, 697.0)",708.0,697.0,3,141.26,117.47,110.98,1.99
